Num_2017_0,Num_2017_1,Num_2017_2,Num_2017_3,Num_2017_4,Num_2017_5,Num_2017_6,Num_2017_7,Num_2017_8,Num_2017_9,Num_2017_10,Num_2017_11,Num_2017_12,Num_2017_13,Num_2017_14,Num_2017_15,Num_2017_16,Num_2017_17,Num_2017_18,Num_2017_19,Num_2017_20,F_2017_0,F_2017_1,F_2017_2,F_2017_3,F_2017_4,F_2017_5,F_2017_6,F_2017_7,F_2017_8,F_2017_9,F_2017_10,F_2017_11,F_2017_12,F_2017_13,F_2017_14,F_2017_15,F_2017_16,F_2017_17,F_2017_18,F_2017_19,Bsp_1982,Bsp_2001,Bsp_2016,Rec_1982,Rec_2001,Bloss
4690090,3601200,2745120,2723300,681706,1180090,186379,238450,336850,995153,301290,99162.4,131071,175784,78941.2,74980.7,419177,50275.6,41255,32234.1,139479,0.000851000000000018,0.01055,0.023636,0.038119,0.050101,0.058107,0.062659,0.064976,0.066093,0.066626,0.066887,0.067021,0.067093,0.067134,0.067159,0.067174,0.067184,0.067191,0.067196,0.067203,2847600,1648550,1174020,53880300,15973400,1153010
5453260,3563310,1674620,1781250,457876,869586,102308,205993,201095,653944,174174,56713.6,55918.2,72341.3,36039.8,23441.6,197793,18395.4,25609.7,17496.5,42416.1,0.003002,0.024563,0.04606,0.069157,0.089303,0.104258,0.113977,0.119624,0.122627,0.124131,0.124862,0.125217,0.125393,0.125482,0.12553,0.125557,0.125572,0.125582,0.125588,0.125596,2172530,1099700,644248,51524900,15641500,614897
4494300,3570160,2180150,2140240,440316,1237290,113045,253688,294498,1016560,340002,135387,101865,153607,74168.2,89644.7,441705,49905.7,55375.6,33973,137147,0.00160199999999999,0.01395,0.02627,0.039231,0.050335,0.058523,0.063911,0.067166,0.069029,0.070068,0.070648,0.070978,0.071171,0.071288,0.071361,0.071409,0.071441,0.071463,0.071479,0.071504,2625160,1583800,1166140,49155700,16771600,1119260
5107640,2597180,2181790,2159750,453832,1017710,205196,227470,322970,880179,209912,124598,119017,149061,68788.7,55435,450237,46344.7,52990.4,39605.4,116070,0.00184500000000001,0.016313,0.031427,0.04692,0.059542,0.068225,0.073487,0.076415,0.077975,0.0788,0.079244,0.079492,0.079635,0.079722,0.079777,0.079814,0.079838,0.079855,0.079868,0.079885,2479230,1435200,1030760,52390400,18671300,982480
5166650,4580220,2505740,2220490,500912,982012,135902,181551,199159,639790,213103,79102.2,62417,76943.6,49408.1,30639.7,218533,22213.8,24838.5,17783.3,37073.7,0.00233900000000001,0.022524,0.041945,0.063407,0.083041,0.098605,0.109631,0.116793,0.121173,0.123761,0.125274,0.126164,0.126697,0.127025,0.127232,0.127368,0.127459,0.127522,0.127567,0.127629,2399360,971389,629517,58895600,17802900,607663
4190870,2651300,1567690,1658520,346941,746027,121903,168990,133832,499291,141031,49111.3,69840,66205.6,35345.3,20747.3,172886,18663.2,22251.2,11430.7,36278.2,0.00198999999999999,0.021809,0.045452,0.072838,0.09789,0.117116,0.129994,0.137754,0.142088,0.144401,0.145614,0.146255,0.146602,0.146795,0.146908,0.146976,0.147019,0.147047,0.147065,0.147093,2191350,1143290,577630,49317700,14557900,542731
3743190,3074770,1782140,2820350,414325,1228680,123616,256427,267362,1116930,250274,127016,107961,136725,100946,79419.8,505160,66226,63390.1,46614,196649,0.000971,0.011329,0.024666,0.037893,0.047408,0.052808,0.055393,0.056518,0.056997,0.057206,0.057302,0.05735,0.057375,0.057389,0.057398,0.057403,0.057407,0.05741,0.057411,0.057414,2569800,1980890,1361590,55010700,15906600,1322460
5213640,3340180,2340640,2085870,679644,1007510,139098,195971,283748,754238,265517,123969,94632.8,131901,57634.3,37620.2,266337,30711.7,27822.4,19622.8,54546,0.001614,0.016979,0.032847,0.050895,0.067664,0.081022,0.090444,0.096482,0.100089,0.102152,0.103309,0.103958,0.104328,0.104545,0.104675,0.104756,0.104809,0.104843,0.104867,0.104902,2285510,1135520,791598,52150700,16625400,766963
4162930,3337460,1867020,2754760,427299,1082610,89154.2,211073,170923,954792,237517,89942.7,58645.9,137371,61026.7,62881.4,392612,45510.1,44149.1,28163.9,116693,0.00242900000000001,0.018606,0.033629,0.048766,0.061203,0.069979,0.075491,0.078669,0.080406,0.081333,0.081829,0.082099,0.082251,0.08234,0.082395,0.082429,0.082451,0.082467,0.082477,0.082494,2711740,1494170,944219,56537600,17477800,914353
6613310,4594110,2353820,1706100,478652,1203800,117539,193265,191325,713076,308946,91396.2,110946,110836,44829.9,41661.9,297646,24338.4,26121.1,19213.3,60394.6,0.00144,0.014675,0.030375,0.048537,0.0652,0.078075,0.086797,0.092136,0.095178,0.096839,0.097732,0.098216,0.098483,0.098636,0.098726,0.098782,0.098818,0.098841,0.098857,0.098881,2435460,1211290,840142,47166200,16908800,810787
